seite_gedruckt	pdf_blatt	dokumenttyp	leistung_ocr	kriterien_ocr	1_Strategische_Planung	2_Vorstudien	3_Projektierung	4_Ausschreibung	5_Realisierung	6_Bewirtschaftung	Behoerden	Auftraggeber	Planer	Nutzer	Betreiber	Umfeld	Perimeter	Gebaeude
43	43	Projektorganisation	Definition Zusammenarbeit, Entscheidungswege und -kompetenzen, Kommunikationsgefässe	A.7 B.5	x	x						LE	L				x	
43	43	Projektorganisation	Definition Aufgaben und Rahmen Planungsteam, Darstellung komplexer Zusammenhänge	A.7B.5		x						E	L				x	
43	43	Projektorganisation	Einbindung wichtiger Interessensvertreter und Identifikation möglicher Interessenkonflikte	A.7	x	x	x	x	x	x	P	LE	L	P		x	x	x
43	43	Projektorganisation	Kommunikation/Öffentlichkeitsarbeit/Information: Organisation, Zuständigkeiten, Anlässe	A.7		x	x	x	x	x	P	L	L	P		x	x	
43	43	Projektorganisation	Berücksichtigung regionaler und lokaler Dienst- leistungen, Unternehmungen und Produkte	A.5A.7 B.1 B.2		x		x		x		E	L				x	x
43	43	Projektorganisation	Baustelleninfrastruktur und effiziente Transport- planung, Logistikkonzept	A.7			x	x	x			E	L				x	x
43	43	Projektorganisation	Berücksichtigung der Inbetriebnahme bei der Vergabe unternehmerischer Leistungen	A.4 B.6		x		x		x		E	L				x	x
43	43	Standortanalyse/Sozialraumstudien	Bestandsaufnahmen, Zustandsanalysen, Mietpreise, Arbeitsmarkt, Regionalökonomie	A.1B.1B.4 B.6	x	x						LE	L			x	x	
43	43	Standortanalyse/Sozialraumstudien	Zukünftige Entwicklungen (Quartierleitbilder, Raum- planung, Zonenänderungen, Demografie)	A.1 B.1B.3 C.4	x	x						LE	L			x	x	
43	43	Standortanalyse/Sozialraumstudien	Analyse Nutzer- und Zielgruppen für ergänzende Angebote am Standort, Sozialstruktur	A.2AAA.7 B.2 B.3B.4	x	x						LE	L			x	x	
43	43	Standortanalyse/Sozialraumstudien	Qualität, Entwicklungspotenzial Grundversorgung: kommerzielles, nicht kommerzielles Angebot	A.2A.3B.1 C.1C.4	x	x						LE	L			x		
43	43	Standortanalyse/Sozialraumstudien	Ausnützung, Verdichtungspotenzial, baurechtliche Rahmenbedingungen	B.1B.3C.6		x					P	E	L			x	x	
43	43	Standortanalyse/Sozialraumstudien	Historischer, politischer, gesellschaftlicher, räum- licher, architektonischer, landschaftlicher Kontext	A.5 B.1 B.3 B.4C.3C.5	x	x						LE	L			x		
43	43	Standortanalyse/Sozialraumstudien	Erreichbarkeit, Mobilitätsangebot, öffentlicher Ver- kehr, Velowege, Fussgänger	A.1A.3B.1 B.2 C.1		x						E	L			x	x	
43	43	Standortanalyse/Sozialraumstudien	Angebot regionaler Ressourcen, Produkte und Dienst- leistungen im Umfeld, Energieversorgung	A.2 B.1B.2 B.4 C.1 C.3		x		x				E	L			x	x	
43	43	Standortanalyse/Sozialraumstudien	Analyse Naherholungsqualität, Freiräume, Öko- systeme, Kreislaufsysteme	A.6 B.1 C.3 C.5	x	x						LE	L			x		
43	43	Standortanalyse/Sozialraumstudien	Topografie, Geologie, Umweltgefahren, Schadstoffe im Boden, Immissionen, Lärm, Verkehr	A.6B.1B.2 B.6C.5	x	x						E	L			x	x	
44	44	Marktanalyse	Marktfähigkeit, Mietpreise, Arbeitsmarkt, Regional- ökonomie, Innovationspotenzial	B.1 B.2 B.5 B.6	x					x		LE	L			x	x	
44	44	Marktanalyse	Angebot und Nachfrage der geplanten Nutzungen im Umfeld, mittel- und langfristige Perspektive	A.1A.2B.1 B.2 B.3 B.4	x	x				x		LE	L			x	x	
44	44	Marktanalyse	Klärung Rahmenbedingungen und Sachzwänge (Ausnützung, Erschliessung, Topografie usw.)	A.1A.4 B.1 B.6	x	x						LE	L			x	x	
44	44	Marktanalyse	Klärung von Anreizen oder Unterstützungsleistungen zur sozio-ökonomischen Aufwertung	A.2 B.2 B.6	x	x						LE	L				x	
44	44	Marktanalyse	Vermeidung einer Wertverminderung durch raum- planerische, sozialräumliche Entwicklungen	A.1B.1B.4 B.6		x						LE	L			x		
